Overhead,Command,Shared Object,Symbol
0.01,qemu-x86_64,[kernel],[k] jbd2\_journal\_dirty\_metadata
0.01,qemu-x86_64,[kernel],[k] generic\_write\_end
0.01,qemu-x86_64,[kernel],[k] current\_kernel\_time
0.01,qemu-x86_64,[kernel],[k] \_\_perf\_event\_sched\_in
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_paddl\_xmm
0.01,qemu-x86_64,[kernel],[k] \_\_brelse
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_movl\_mm\_T0\_xmm
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_sqrtsd
0.01,qemu-x86_64,[kernel],[k] pick\_next\_task\_idle
0.01,qemu-x86_64,[kernel],[k] \_\_pollwait
0.01,qemu-x86_64,[kernel],[k] balance\_dirty\_pages\_ratelimited\_nr
0.01,qemu-x86_64,[kernel],[k] generic\_write\_sync
0.01,qemu-x86_64,[kernel],[k] inotify\_inode\_queue\_event
0.01,qemu-x86_64,[kernel],[k] iov\_iter\_advance
0.01,qemu-x86_64,[kernel],[k] security\_inode\_need\_killpriv
0.01,qemu-x86_64,[kernel],[k] intel\_pmu\_enable\_all
0.01,qemu-x86_64,[kernel],[k] block\_write\_end
0.01,qemu-x86_64,[kernel],[k] jbd2\_journal\_get\_write\_access
0.01,qemu-x86_64,/usr/bin/perf\_2.6.32-46,[.] write@plt
0.01,qemu-x86_64,[kernel],[k] \_\_wake\_up
0.01,qemu-x86_64,[kernel],[k] unlock\_buffer
0.01,qemu-x86_64,[kernel],[k] \_\_fsnotify\_parent
0.01,qemu-x86_64,[kernel],[k] calc\_load\_account\_active
0.01,qemu-x86_64,[kernel],[k] \_\_ext4\_journal\_stop
0.01,qemu-x86_64,[kernel],[k] inotify\_dentry\_parent\_queue\_event
0.01,qemu-x86_64,[kernel],[k] memset\_c
0.01,qemu-x86\_64,/local/timbo/node-qemu-64/not-stripped64/qemu-x86\_64,[.] helper\_addpd
0.01,qemu-x86_64,[kernel],[k] security\_file\_permission
0.01,qemu-x86_64,[kernel],[k] rcu\_sched\_qs
0.01,qemu-x86_64,/lib/libpthread-2.11.1.so,[.] \_\_write\_nocancel
0.01,qemu-x86_64,[kernel],[k] \_\_ext4\_journal\_get\_write\_access
0.01,qemu-x86_64,[kernel],[k] default\_spin\_lock\_flags
0.01,qemu-x86_64,[kernel],[k] mutex\_unlock
0.01,qemu-x86_64,[kernel],[k] ext4\_reserve\_inode\_write
0.01,qemu-x86_64,[kernel],[k] ext4\_xattr\_ibody\_get
0.01,qemu-x86_64,[kernel],[k] deactivate\_task
0.01,qemu-x86_64,[kernel],[k] ext4\_get\_inode\_loc
0.01,qemu-x86_64,[kernel],[k] system\_call\_fastpath
0.01,qemu-x86_64,[kernel],[k] \_\_perf\_event\_sched\_out
0.01,qemu-x86_64,[kernel],[k] perf\_event\_task\_sched\_in
0.01,qemu-x86_64,[kernel],[k] hw\_perf\_enable
0.01,qemu-x86_64,[kernel],[k] perf\_enable
